o,o,o,o,o,o,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
o,,,,,,,x,,,,,,,,,,x,w2,w2,w2,w2,w2,w2,w2,w2,,,,,,w3,x,,,,,,,x
o,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,w3,x,,,,,d,,x
o,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,x
o,,,,,,,x,,,,,x,,,,,x,,,,,,,,,,x,,,,,x,,,,,,,x
o,,,,,,,x,,,,,x,,,,,x,,,,,,,,,,x,,,,,x,,,,,,,x
o,,,,,,,x,,,,,x,,,,,x,,,,,,,,,,x,,,,,x,,,,,,,x
o,,,,,,,x,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,,,,x
x,x,x,x,x,x,x,x,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,,,,x
x,w1,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,,,,x
x,w1,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,x
x,w1,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x
x,w1,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,x
x,,,,,,,,,x,x,x,x,,,,,x,,,,,x,,,,,x,,,x,x,x,x,x,x,x,x,x,x
x,,,,,,,,,x,x,x,x,,,,,x,,,,,x,,,,,x,,,x,,,,,,,,,o
x,,,,,,,,,x,x,x,x,,,,,,,,,,x,,,,,,,,x,,,,,,,,,o
x,,h,,,,,,,x,x,x,x,,,,,,,,,,x,,,,,,,,x,,,,,,,,,o
x,,,,,w,w,w,w,x,x,x,x,w,w,w,w,,,,,,x,w,w,w,w,w,w,w,x,,,,,,,,,o
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,o,o,o,o,o,o,o,o,o
